id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
127,phản hồi giải đáp thắc mắc cho sinh viên .,phản hồi giải đáp thắc mắc cho sinh viên,phản hồi giải đáp,Support from lecturers,phản hồi giải đáp thắc mắc,Neutral
128,dạy quá nhanh .,dạy quá nhanh,dạy,Teaching quality,quá nhanh,Negative
129,mong ban thiết bị sớm khắc phục ạ !,mong ban thiết bị sớm khắc phục ạ,ban thiết bị,Learning environment,sớm khắc phục,Negative
130,môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp,"môn này,lý thuyết,thực tiễn",Course information,"cần làm đề tài,chỉ học một đống lý thuyết,khá buồn ngủ",Negative
131,"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .","giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên","giảng viên,phương pháp giảng dạy",Teaching quality,"nên đổi mới,tránh thô cứng,không hấp dẫn",Negative
132,"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .","nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học"
132,"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",tham gia các chương trình phong trào liên quan để nâng cao kỹ năng,cho học sinh tiếp cận với môn học,Support from lecturers,"nhiệt tình , tạo cách chủ động,nâng cao kỹ năng",Positive,chương trình phong trào,Course information
133,"cô dạy rất tận tình , dễ hiểu .","cô dạy rất tận tình , dễ hiểu","cô,dạy",Teaching quality,"rất tận tình,dễ hiểu",Positive
134,không đáp ứng được nhu cầu của sinh viên .,không đáp ứng được nhu cầu của sinh viên,nhu cầu của sinh viên,General review,không đáp ứng được,Negative
135,thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng,thầy,Support from lecturers,"rất nhiệt tình,rất hài lòng",Positive
136,cách giảng dạy của thầy rất hay và có phần dễ hiễu .,cách giảng dạy của thầy rất hay và có phần dễ hiễu,"cách giảng dạy,thầy",Teaching quality,"rất hay,có phần dễ hiễu",Positive
137,"nhiệt tình , dễ thương .","nhiệt tình , dễ thương","nhiệt tình,dễ thương",Support from lecturers,"nhiệt tình,dễ thương",Positive
138,không hướng dẫn đồ án .,không hướng dẫn đồ án,đồ án,Support from lecturers,không hướng dẫn,Negative
139,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung,"tài liệu,nội dung",Course information,"đề nghị,nên bổ sung",Negative
140,"chép bài rất nhiều , lãng phí thời gian nghe giảng .","chép bài rất nhiều , lãng phí thời gian nghe giảng","chép bài,nghe giảng",Teaching quality,"rất nhiều,lãng phí thời gian",Negative
142,đề thi môn dài sinh viên làm không đủ thời gian .,đề thi môn dài sinh viên làm không đủ thời gian,đề thi môn,Test and evaluation,"dài,không đủ thời gian",Negative
143,cho làm nhiều bài test .,cho làm nhiều bài test,bài test,Test and evaluation,cho làm nhiều,Negative
144,theo em thì nên thi phòng máy nào có visual 2013 trở lên .,theo em thì nên thi phòng máy nào có visual 2013 trở lên,thi phòng máy,Learning environment,theo em thì nên,Neutral
145,cần thêm nhiều tài liệu cho môn học .,cần thêm nhiều tài liệu cho môn học,tài liệu,Course information,cần thêm,Negative
146,thầy giảng dạy tốt .,thầy giảng dạy tốt,thầy giảng dạy,Teaching quality,tốt,Positive
147,mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó,thầy có thể hướng dẫn,Support from lecturers,"cụ thể,mong",Neutral
148,thầy cần cho bài tập và hướng dẫn nhiều hơn .,thầy cần cho bài tập
148,thầy cần cho bài tập và hướng dẫn nhiều hơn .,hướng dẫn nhiều hơn,bài tập,Workload,hướng dẫn,Support from lecturers,nhiều hơn,Neutral
149,"giáo viên lên lớp đúng giờ , giảng bài sôi động .","giáo viên lên lớp đúng giờ , giảng bài sôi động","giáo viên lên lớp,giảng bài",Teaching quality,"đúng giờ,sôi động",Positive
150,em thấy thầy chỉ giảng cho có .,em thấy thầy chỉ giảng cho có,thầy chỉ giảng,Teaching quality,cho có,Negative
